                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.37173,                0.50115,                 0.3201,                0.95238,                0.59868,                    0.6,                  0.597,                0.57333,                0.59868,                    0.6,                  0.597,                0.58422,                 0.3625,                0.36841,                 3.0713,                 1.0096,             0.00050606,             0.00050606,             0.00050606
                     36,                0.36103,                0.50898,                0.30353,                0.96099,                0.59738,                    0.6,                  0.597,                0.58075,                0.59738,                    0.6,                  0.597,                0.57654,                0.31287,                0.44248,                  3.042,                0.95497,             0.00048773,             0.00048773,             0.00048773
                     37,                0.35953,                0.50407,                0.30189,                0.96478,                0.59883,                    0.6,                  0.597,                0.57665,                0.59883,                    0.6,                  0.597,                0.58971,                 0.3377,                0.36686,                  2.936,                0.97144,              0.0004694,              0.0004694,              0.0004694
                     38,                0.33395,                0.47834,                0.28498,                0.95694,                 0.5977,                    0.6,                0.61796,                0.60193,                 0.5977,                    0.6,                0.61796,                0.60939,                0.28303,                0.36088,                 2.8673,                0.90542,             0.00045107,             0.00045107,             0.00045107
                     39,                0.36353,                0.51289,                0.29362,                0.96254,                0.59869,                    0.6,                  0.597,                 0.5881,                0.59869,                    0.6,                  0.597,                0.58796,                0.30089,                0.36371,                  3.307,                 0.9406,             0.00043273,             0.00043273,             0.00043273
                     40,                0.33742,                0.47323,                0.27751,                 0.9463,                0.59816,                    0.6,                  0.597,                0.58199,                0.59816,                    0.6,                  0.597,                0.58405,                0.32716,                0.36352,                 3.1671,                0.94716,              0.0004144,              0.0004144,              0.0004144
                     41,                0.34578,                0.46115,                0.27735,                0.95851,                0.59827,                    0.6,                  0.597,                 0.5815,                0.59827,                    0.6,                  0.597,                0.58194,                 0.3209,                0.36393,                 2.9956,                0.94116,             0.00039607,             0.00039607,             0.00039607
                     42,                  0.356,                0.47894,                 0.2939,                 0.9548,                0.79803,                    0.6,                0.62181,                0.59977,                0.79803,                    0.6,                0.62181,                0.61061,                0.32797,                 0.3652,                 2.7278,                0.95181,             0.00037774,             0.00037774,             0.00037774
                     43,                 0.3537,                  0.506,                0.27737,                0.95432,                0.59828,                    0.6,                0.61582,                0.58959,                0.59828,                    0.6,                0.61582,                0.60492,                 0.3398,                0.35648,                 3.3385,                0.97744,             0.00035941,             0.00035941,             0.00035941
                     44,                0.33217,                 0.4766,                0.27765,                0.93533,                0.79817,                    0.6,                0.61514,                0.60619,                0.79817,                    0.6,                0.61514,                0.60807,                0.28848,                0.36693,                 3.0102,                0.91459,             0.00034108,             0.00034108,             0.00034108
                     45,                 0.3352,                0.47483,                0.25883,                0.93784,                0.59781,                    0.6,                0.61848,                0.60931,                0.59781,                    0.6,                0.61848,                0.61141,                0.29415,                0.38446,                 3.2515,                0.92683,             0.00032275,             0.00032275,             0.00032275
                     46,                0.31229,                0.45774,                0.25681,                0.93245,                0.59802,                    0.6,                0.61786,                 0.6043,                0.59802,                    0.6,                0.61786,                0.60466,                0.31006,                0.37983,                 3.0943,                0.93358,             0.00030441,             0.00030441,             0.00030441
                     47,                0.31875,                 0.4676,                0.24823,                0.94541,                0.59806,                    0.6,                0.67992,                0.65413,                0.59806,                    0.6,                0.67992,                 0.6701,                0.33154,                0.36043,                 2.8779,                0.97162,             0.00028608,             0.00028608,             0.00028608
                     48,                0.32344,                 0.4707,                0.24419,                0.93211,                0.59877,                0.60043,                  0.632,                0.62678,                0.59877,                0.60043,                  0.632,                0.62646,                0.30162,                0.35123,                 2.8872,                0.93205,             0.00026775,             0.00026775,             0.00026775
                     49,                0.31156,                0.44179,                0.22725,                0.93679,                0.59866,                    0.6,                  0.597,                0.58606,                0.59866,                    0.6,                  0.597,                0.59056,                0.30181,                0.36354,                 2.8792,                0.94313,             0.00024942,             0.00024942,             0.00024942
                     50,                0.31453,                0.46381,                 0.2397,                0.94187,                0.59812,                    0.6,                0.60266,                0.59182,                0.59812,                    0.6,                0.60266,                0.59631,                0.28332,                0.34973,                 2.7868,                0.91167,             0.00023109,             0.00023109,             0.00023109
                     51,                0.18602,                0.29104,                0.17572,                0.89872,                0.59825,                    0.6,                0.61609,                0.61087,                0.59825,                    0.6,                0.61609,                0.60489,                0.24101,                0.35216,                 2.8309,                0.87144,             0.00021276,             0.00021276,             0.00021276
                     52,                0.19131,                0.28147,                0.16401,                0.89502,                0.59787,                    0.6,                0.59963,                0.58909,                0.59787,                    0.6,                0.59963,                 0.5903,                 0.2489,                0.36099,                 3.1258,                0.87928,             0.00019442,             0.00019442,             0.00019442
                     53,                0.20214,                0.28316,                0.19622,                0.89991,                0.59814,                    0.6,                  0.597,                0.56297,                0.59814,                    0.6,                  0.597,                0.58096,                0.30425,                0.35826,                 3.2828,                0.92033,             0.00017609,             0.00017609,             0.00017609
                     54,                0.18911,                0.27893,                0.16664,                0.91236,                0.59897,                    0.6,                  0.597,                0.58937,                0.59897,                    0.6,                  0.597,                0.58987,                0.25606,                0.35186,                 3.6408,                0.88311,             0.00015776,             0.00015776,             0.00015776
                     55,                0.19024,                0.27073,                0.16377,                0.91431,                0.59866,                    0.6,                  0.597,                0.58826,                0.59866,                    0.6,                  0.597,                0.58896,                0.25381,                0.35378,                 3.4807,                0.89887,             0.00013943,             0.00013943,             0.00013943
                     56,                0.17968,                0.27402,                0.14785,                0.89546,                0.59887,                    0.6,                  0.597,                0.58668,                0.59887,                    0.6,                  0.597,                0.59183,                0.24387,                0.34622,                  3.343,                0.88042,              0.0001211,              0.0001211,              0.0001211
                     57,                0.18023,                0.27219,                0.15728,                0.89073,                0.59883,                    0.6,                  0.597,                0.58905,                0.59883,                    0.6,                  0.597,                0.58949,                0.24256,                 0.3445,                 3.1269,                0.88224,             0.00010277,             0.00010277,             0.00010277
                     58,                0.16607,                0.27508,                0.14154,                0.87614,                0.59788,                    0.6,                  0.597,                0.58914,                0.59788,                    0.6,                  0.597,                0.59055,                0.23811,                0.34133,                 2.9566,                0.87409,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     59,                0.16462,                0.27247,                0.13956,                0.89371,                0.59813,                    0.6,                  0.597,                0.59117,                0.59813,                    0.6,                  0.597,                 0.5913,                 0.2534,                0.34634,                  2.973,                0.87693,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     60,                0.16387,                0.27139,                0.13622,                0.87328,                0.59799,                    0.6,                  0.597,                0.58879,                0.59799,                    0.6,                  0.597,                0.59122,                0.25121,                 0.3489,                 3.0277,                 0.8738,             4.7773e-05,             4.7773e-05,             4.7773e-05
